Wall time,Step,Value
1562140535.4906437,253719,0.78125
1562140563.0510082,255575,0.9375
1562140583.0201259,256919,0.859375
1562140776.7604532,262594,0.9375
1562140826.5225024,265922,0.859375
1562140867.2048378,268674,0.890625
1562140873.8376894,269122,0.9375
1562140905.1750147,271234,0.90625
1562140933.6767492,273154,0.984375
1562140937.4696565,273410,0.890625
1562141005.8690789,278018,0.90625
1562141080.8751,283074,0.828125
1562141096.0545938,284098,0.9375
1562141117.8946223,285570,0.875
1562141138.7694044,286978,0.953125
1562141168.2633312,288962,0.890625
1562141211.9869652,291906,0.875
1562141266.0264697,295554,0.90625
1562141280.2599409,296514,0.921875
1562141305.8920422,298242,0.84375
1562141327.7991168,299714,0.96875
1562141342.041222,300674,0.875
1562141371.5449526,302658,0.890625
1562141400.981279,304642,0.953125
1562141416.161545,305666,0.921875
1562141609.824169,311341,0.859375
1562141620.2428155,312045,0.90625
1562141675.3923855,315757,0.953125
1562141743.7744188,320365,0.921875
1562141758.9461622,321389,0.984375
1562141775.0963006,322477,0.921875
1562141780.8022552,322861,0.921875
1562141782.689477,322989,0.921875
1562141784.5953212,323117,0.921875
1562141793.1451833,323693,0.921875
1562141811.2031817,324909,0.9375
1562141823.5558138,325741,0.890625
1562141836.8676856,326637,0.890625
1562141843.5233521,327085,0.90625
1562141869.177152,328813,0.921875
1562141872.9770699,329069,0.890625
1562141885.3494415,329901,0.90625
1562141886.2993252,329965,0.953125
1562141921.4922192,332333,0.9375
1562141955.6794093,334637,0.9375
1562142035.5669036,340013,0.96875
1562142059.3886425,341613,0.96875
1562142099.3528295,344301,0.953125
1562142100.3043082,344365,0.921875
1562142133.5221884,346605,0.96875
1562142162.9625456,348589,0.921875
1562142297.019948,350296,0.953125
1562142308.5634935,351064,0.921875
1562142315.24776,351512,0.921875
1562142328.60981,352408,0.921875
1562142335.2827969,352856,0.9375
1562142358.0077355,354392,0.96875
1562142371.2899249,355288,0.984375
1562142379.8118656,355864,0.96875
1562142382.663369,356056,0.9375
1562142404.5470705,357528,0.90625
1562142409.3159592,357848,0.9375
1562142449.2715702,360536,0.921875
1562142484.4637797,362904,0.9375
1562142490.146731,363288,0.90625
1562142546.1626894,367064,0.921875
1562142564.1835032,368280,0.921875
1562142572.7416914,368856,0.953125
1562142579.4131393,369304,0.984375
1562142632.6520505,372888,0.953125
1562142681.1292598,376152,0.90625
1562142728.62816,379352,0.921875
1562142872.9741845,389080,0.890625
1562142878.6574574,389464,0.953125
1562142895.7727728,390616,0.921875
1562142903.3732507,391128,0.96875
1562143073.657562,395203,0.828125
1562143079.3926501,395587,0.9375
1562143082.252649,395779,0.921875
1562143091.768195,396419,0.921875
1562143095.5601578,396675,0.90625
1562143097.4532707,396803,0.953125
1562143102.1627302,397123,0.953125
1562143204.7273407,404035,0.9375
1562143212.3443305,404547,0.921875
1562143213.2910361,404611,0.921875
1562143228.5082145,405635,0.9375
1562143373.7956414,415427,0.890625
1562143397.5739093,417027,0.9375
1562143488.789939,423171,0.96875
1562143495.4337173,423619,0.875
1562143545.739354,427011,0.90625
1562143579.9449418,429315,0.921875
1562143626.4953103,432451,0.984375
1562143835.3050907,439150,0.921875
1562143836.2627957,439214,0.90625
1562143868.5084977,441390,0.9375
1562143914.0499449,444462,0.953125
1562143917.8457956,444718,0.96875
1562143925.452976,445230,0.953125
1562143963.5236368,447790,1.0
1562143965.420572,447918,0.953125
1562143972.0744264,448366,0.921875
1562143975.8644338,448622,0.921875
1562144019.6038404,451566,0.953125
1562144031.9452546,452398,0.9375
1562144034.801028,452590,0.875
1562144050.950905,453678,0.921875
1562144052.858939,453806,0.90625
1562144070.9116278,455022,0.90625
1562144128.8669522,458926,0.984375
1562144139.336412,459630,0.953125
1562144168.796383,461614,0.875
1562144172.5798824,461870,0.921875
1562144175.4390802,462062,0.96875
1562144275.1882706,468782,0.921875
1562144286.6199524,469550,0.953125
1562144306.5489318,470894,0.984375
1562144309.387084,471086,0.9375
