Wall time,Step,Value
1562136211.527611,1408,3.9959585666656494
1562136214.196271,1600,4.088251113891602
1562136242.9107494,3648,3.5087852478027344
1562136245.6099825,3840,3.182206630706787
1562136266.4259899,5312,3.5330371856689453
1562136267.3392718,5376,3.5649733543395996
1562136273.7374208,5824,3.4109740257263184
1562136321.5625207,9152,2.7999067306518555
1562136347.5984786,10944,2.0984811782836914
1562136351.310823,11200,2.8167083263397217
1562136389.7219503,13824,2.2351276874542236
1562136410.4492755,15232,2.6618878841400146
1562136435.9483547,16960,3.0801548957824707
1562136470.088834,19264,2.2478220462799072
1562136509.1711712,21888,2.5455641746520996
1562136532.978933,23488,2.277708053588867
1562136567.2177103,25792,1.801015853881836
1562136617.5322723,29184,2.20579195022583
1562136672.6719277,32896,2.4560365676879883
1562136707.7796862,35264,2.2133047580718994
1562136709.681268,35392,2.4004924297332764
1562136720.1133718,36096,1.622527003288269
1562136743.8122566,37696,1.6924206018447876
1562136781.7446313,40256,1.5539822578430176
1562136812.0976562,42304,1.90899658203125
1562136814.9547803,42496,1.6614124774932861
1562136819.7098,42816,1.4532368183135986
1562136975.7060125,44779,1.8017877340316772
1562137015.7325065,47467,1.8634331226348877
1562137018.5641644,47659,1.6408140659332275
1562137085.0008576,52139,1.6860237121582031
1562137109.7385495,53803,1.4419777393341064
1562137117.3356776,54315,1.3651131391525269
1562137143.0362673,56043,2.0469088554382324
1562137149.718008,56491,1.6370733976364136
1562137152.5673773,56683,1.391338586807251
1562137166.8587732,57643,1.0243932008743286
1562137169.720067,57835,1.0236585140228271
1562137194.4576755,59499,1.5535681247711182
1562137268.7279942,64491,1.1628772020339966
1562137300.0982563,66603,1.2683008909225464
1562137313.399203,67499,1.3305734395980835
1562137328.6036289,68523,1.1717746257781982
1562137346.6770883,69739,1.6468226909637451
1562137387.5891452,72491,1.0827839374542236
1562137409.4884207,73963,1.0345747470855713
1562137460.8881385,77419,1.2842535972595215
1562137465.6301641,77739,1.0291001796722412
1562137482.7478404,78891,0.984636664390564
1562137496.060432,79787,1.4778382778167725
1562137510.3106117,80747,0.9836833477020264
1562137526.5219464,81835,1.057648777961731
1562137553.131032,83627,0.9581383466720581
1562137738.4701037,87958,1.1281448602676392
1562137777.8217323,90582,0.9153606295585632
1562137782.5630102,90902,0.9364662170410156
1562137785.411786,91094,0.9939212799072266
1562137948.6445463,102102,0.7366287708282471
1562137969.5820155,103510,1.15549635887146
1562137972.438785,103702,0.8099062442779541
1562137990.5289037,104918,0.8395477533340454
1562138005.7295883,105942,0.97066330909729
1562138046.6830738,108694,0.8175725936889648
1562138065.680508,109974,0.9906550645828247
1562138086.5774624,111382,1.2709605693817139
1562138100.8633509,112342,0.8848779201507568
1562138124.6411064,113942,0.7168565988540649
1562138127.4983656,114134,0.8909790515899658
1562138140.8171058,115030,0.8501944541931152
1562138152.2312114,115798,0.6921426653862
1562138155.088951,115990,0.9048129320144653
1562138204.5653174,119318,0.979861855506897
1562138214.068981,119958,0.6982476115226746
1562138224.490251,120662,0.6102136373519897
1562138272.0276191,123862,0.791670024394989
1562138277.7361655,124246,0.5497293472290039
1562138297.727145,125590,0.8780815601348877
1562138312.9457176,126614,0.6807388663291931
1562138355.7912185,129494,0.8008830547332764
1562138549.0878134,134913,0.7260850071907043
1562138720.1669688,146433,0.45700544118881226
1562138740.1479113,147777,0.8246564865112305
1562138822.918647,153345,0.5077139735221863
1562138840.041625,154497,0.5324177742004395
1562138887.6564229,157697,0.8261284828186035
1562138925.760744,160257,0.6656518578529358
1562138942.8794088,161409,0.5096606016159058
1562138961.8764212,162689,0.28850454092025757
1562138995.183242,164929,0.5641380548477173
1562139003.7411957,165505,0.5130666494369507
1562139005.639833,165633,0.5798240303993225
1562139008.508056,165825,0.6034035682678223
1562139013.2707372,166145,0.45916545391082764
1562139031.3311853,167361,0.5615339279174805
1562139061.7639954,169409,0.362289160490036
1562139098.8709464,171905,0.5329151153564453
1562139137.8271747,174529,0.7004597187042236
1562139256.2536547,175020,0.7690309286117554
1562139309.8458688,178604,0.5640900731086731
1562139350.5927594,181356,0.32049623131752014
1562139376.2561011,183084,0.40393316745758057
1562139386.73951,183788,0.6682167053222656
1562139429.592977,186668,0.4069099724292755
1562139478.1412883,189932,0.4896978735923767
1562139535.220862,193772,0.7266710996627808
1562139554.22479,195052,0.40123218297958374
1562139575.0766983,196460,0.3358166515827179
1562139600.6860905,198188,0.4267565608024597
1562139631.0928257,200236,0.37370097637176514
1562139668.179264,202732,0.4078608751296997
1562139765.0157819,209260,0.47974079847335815
1562139766.9240317,209388,0.36585143208503723
1562139789.7554986,210924,0.5142959952354431
1562139793.5689874,211180,0.6043251752853394
1562139806.8858645,212076,0.40282142162323
1562139807.842725,212140,0.5619333982467651
1562139819.2542584,212908,0.43502822518348694
1562139850.6393933,215020,0.48401305079460144
1562140020.0022786,219031,0.4885942041873932
1562140023.8383262,219287,0.5705899000167847
1562140040.1844435,220375,0.5513718128204346
1562140049.74626,221015,0.3311874270439148
1562140062.1702666,221847,0.47212284803390503
